"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","30-09-2019       TTM","",""
"2","Sales/Revenue","115,285.00","430,726.00","461,768.00","489,190.00","507,344.00","524,918.00","535,689.00","549,724.00","",""
"3","Pretax Income","153,292.00","311,945.00","317,617.00","253,998.00","277,836.00","343,366.00","333,753.00","346,111.00","",""
"4","Net Income","153,292.00","311,945.00","317,617.00","253,998.00","277,836.00","343,366.00","333,753.00","346,111.00","",""
"5","Cash & Short-Term Investments","111,311.00","189,712.00","203,801.00","217,456.00","244,013.00","285,208.00","207,123.00","207,463.75","",""
"6","Cash Only","5,799.00","18,979.00","16,329.00","26,975.00","29,654.00","44,099.00","15,136.00","207,463.75","",""
"7","Total Accounts Receivables","33,206.00","12,963.00","12,821.00","12,922.00","12,216.00","17,057.00","19,794.00","30,056.25","",""
"8","Net Property, Plant & Equipment","12,266.00","11,202.00","11,872.00","11,740.00","10,456.00","10,220.00","7,964.00","7,070.00","",""
"9","Accrued Payable","10,071.00","-","-","-","-","-","-","222,857.25","",""
"10","Short Term Debt","27,606.00","27,606.00","27,319.00","36,752.00","28,053.00","14,900.00","14,900.00","8,281.75","",""
"11","Long Term Debt","1,193,382.00","1,194,909.00","1,196,267.00","1,196,363.00","1,209,176.00","1,198,765.00","1,199,025.00","1,199,122.50","",""
"12","Net Operating Cash Flow","151,253.00","307,640.00","322,580.00","353,001.00","357,283.00","376,871.00","383,808.00","393,493.00","",""
"13","Capital Expenditures","(12,672.00)","(749.00)","(2,811.00)","(2,667.00)","(1,426.00)","(2,432.00)","(580.00)","(412.00)","",""
"14","Total Shares Outstanding (million)","3,400,000.00","3,422,620.00","3,447,328.00","3,471,789.00","3,493,474.00","3,513,452.00","3,534,810.00","3,545,840.00","3,493,474.00","686,401.90"
