"1","Financial Year","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","30-09-2019       TTM","30-09-2019       TTM"
"2","Sales/Revenue","14,549.67","19,116.71","24,569.59","27,114.58","29,720.28","47,122.54","55,917.34","70,090.35","61,690.35","61,690.35"
"3","Pretax Income","5,678.23","7,561.04","7,539.68","6,786.19","7,302.59","7,736.71","9,374.72","14,692.59","12,383.59","12,383.59"
"4","Net Income","5,435.03","7,194.17","6,294.26","6,432.59","6,796.47","8,488.81","7,864.98","11,585.85","8,905.85","8,905.85"
"5","Cash & Short-Term Investments","913.85","1,467.24","10,921.43","9,822.05","13,768.98","5,929.61","25,725.32","23,127.71","17,373.93","17,373.93"
"6","Cash Only","507.65","761.05","1,832.01","8,706.26","5,803.54","2,034.60","6,971.56","4,525.99","2,617.25","2,617.25"
"7","Total Accounts Receivables","10,659.63","14,318.00","16,824.27","14,348.96","30,107.06","46,473.00","47,208.79","48,517.95","57,819.58","57,819.58"
"8","Inventories","452.74","1,310.33","2,926.58","4,061.49","4,664.36","7,946.53","7,590.09","9,671.65","10,412.33","10,412.33"
"9","Net Property, Plant & Equipment","7,985.94","15,207.82","17,369.33","24,302.86","26,902.89","29,291.58","37,238.41","47,568.28","54,569.07","54,569.07"
"10","Short Term Debt","262.85","1,219.80","1,083.45","1,484.06","990.55","698.50","695.82","923.71","2,062.93","2,062.93"
"11","Long Term Debt","1,805.85","3,193.91","3,043.94","2,541.54","941.53","3,079.95","3,091.42","5,226.34","8,385.83","8,385.83"
"12","Net Operating Cash Flow","3,619.20","7,790.57","10,413.41","11,269.98","5,280.52","2,995.42","40,347.28","20,513.54","7,583.77","7,583.77"
"13","Capital Expenditures","(6,004.38)","(7,224.25)","(14,280.32)","(11,100.75)","(14,845.22)","(14,290.48)","(27,785.62)","(25,018.64)","(24,018.64)","(24,018.64)"
"14","Total Shares Outstanding (million)","343,169.00","343,169.00","490,252.46","490,252.46","625,154.70","666,665.66","809,249.13","860,209.03","860,209.03","666,665.66"
