"1","Financial Year","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3"
"2","Sales/Revenue","53,489.00","37,387.00","31,428.00","41,735.00"
"3","Pretax Income","10,254.00","4,167.00","4,542.00","8,906.00"
"4","Net Income","7,910.00","2,750.00","3,132.00","6,584.00"
"5","Cash & Short-Term Investments","17,491.00","48,252.00","36,772.00","44,234.00"
"6","Total Accounts Receivables","5,779.00","6,316.00","4,408.00","4,809.00"
"7","Inventories","33,776.00","33,063.00","42,188.00","41,965.00"
"8","Net Property, Plant & Equipment","38,120.00","34,599.00","34,828.00","34,784.00"
"9","Accrued Payable","19,105.00","18,271.00","17,190.00","16,432.00"
"10","Short Term Debt","30,381.00","13,216.00","14,072.00","12,604.00"
"11","Long Term Debt","11,357.00","8,806.00","7,743.00","9,666.00"
"12","Net Operating Cash Flow","47,178.00","7,413.00","1,771.00","13,605.00"
"13","Capital Expenditures","(11,139.00)","(2,541.00)","(1,532.00)","(1,176.00)"
"14","Total Shares Outstanding (million)","631,807.00","705,881.49","705,881.49","705,881.49"
