"1","Financial Year","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       Other","31-03-2020       Other","30-06-2020       1","30-09-2020       2","31-12-2020       3","31-03-2021       4"
"2","Sales/Revenue","(391.40)","113.00","671.00","508.00","1,447.00","349.00","327.00","352.00","269.00","108.96"
"3","Pretax Income","(2,296.50)","(320.00)","(401.00)","(406.00)","(674.00)","(376.00)","(373.00)","(289.00)","(298.00)","(557.31)"
"4","Net Income","(2,296.50)","(320.00)","(401.00)","(406.00)","(674.00)","(388.00)","(373.00)","(289.00)","(298.00)","(627.37)"
"5","Cash & Short-Term Investments","1,691.50","647.00","321.00","146.00","224.00","1,498.50","1,055.00","1,326.00","794.00","546.79"
"6","Cash Only","-","-","-","-","-","-","-","-","-","546.79"
"7","Total Accounts Receivables","1,983.55","2,468.00","3,043.00","3,257.00","2,823.00","2,746.18","2,630.00","2,846.00","2,529.00","1,851.38"
"8","Inventories","10,339.23","11,576.00","11,761.00","11,846.00","11,844.00","11,794.75","11,829.00","11,832.00","11,998.00","12,007.60"
"9","Net Property, Plant & Equipment","54.48","49.00","2,441.00","38.00","33.00","125.31","115.00","104.00","96.00","344.04"
"10","Short Term Debt","-","-","-","-","-","-","-","-","-","106.54"
"11","Long Term Debt","-","-","-","-","-","-","-","-","-","156.34"
"12","Net Operating Cash Flow","869.44","(1,044.00)","(326.00)","(175.00)","78.00","(2,209.00)","(444.00)","271.00","(532.00)","(246.00)"
"13","Capital Expenditures","-","-","-","-","-","(110.00)","-","-","-","-"
"14","Total Shares Outstanding (million)","48,673.64","48,673.64","48,673.64","48,673.64","48,673.64","63,275.64","63,275.64","63,275.64","63,275.64","63,275.64"
