"1","Financial Year","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       Other","31-03-2021       Other"
"2","Sales/Revenue","1,175,001.00","1,168,804.00","1,013,468.00","1,014,696.00","1,036,376.00","924,092.00","91,444.00","59,907.00","54,650.00","38,491.00"
"3","Pretax Income","30,622.00","59,517.00","(269,333.00)","(157,098.00)","60,906.00","(549,381.00)","(304,922.00)","(308,443.00)","(174,315.00)","(5,670,863.00)"
"4","Net Income","(88,052.00)","43,333.00","(207,112.00)","(229,894.00)","(256,644.00)","(549,702.00)","(305,236.00)","(308,458.00)","(174,328.00)","(5,670,880.00)"
"5","Cash & Short-Term Investments","297,609.00","289,689.00","313,690.00","401,356.00","357,961.00","218,566.00","252,039.00","138,816.00","110,363.00","95,322.00"
"6","Cash Only","241,017.00","234,459.00","270,894.00","299,960.00","-","187,530.00","200,284.00","43,937.00","-","21,637.00"
"7","Total Accounts Receivables","117,201.00","168,285.00","276,017.00","271,564.00","912,195.00","540,051.00","527,222.00","565,844.00","1,266,777.00","944,136.00"
"8","Inventories","13,257.00","13,254.00","13,187.00","13,341.00","13,102.00","13,344.00","13,169.00","12,729.00","10,652.00","7,977.00"
"9","Net Property, Plant & Equipment","624,964.00","5,884,127.00","6,205,855.00","6,372,778.00","6,549,922.00","5,392,137.00","5,200,232.00","4,936,583.00","4,747,548.00","262,919.00"
"10","Accrued Payable","799,794.00","844,387.00","709,079.00","527,284.00","849,107.00","437,555.00","273,939.00","243,954.00","2,166,242.00","306,532.00"
"11","Short Term Debt","192,324.00","882,919.00","816,902.00","806,856.00","866,825.00","917,336.00","915,428.00","878,571.00","861,939.00","1,986,122.00"
"12","Long Term Debt","494,728.00","4,968,308.00","5,249,052.00","5,447,365.00","5,450,527.00","5,475,441.00","5,178,245.00","4,751,365.00","4,410,116.00","4,157,836.00"
"13","Net Operating Cash Flow","(44,012.00)","298,083.00","(28,821.00)","83,646.00","305,612.00","108,343.00","82,620.00","(110,463.00)","(25,469.00)","37,688.00"
"14","Capital Expenditures","153,737.00","(3,329.00)","(9,938.00)","(7,207.00)","(25,862.00)","(3,345.00)","(1,980.00)","23.00","(71.00)","(4,028.00)"
"15","Total Shares Outstanding (million)","4,148,148.55","4,148,148.00","4,148,148.00","4,148,148.00","4,148,148.00","4,148,148.00","4,148,149.00","4,148,149.00","4,148,149.00","4,148,149.00"
