"1","Financial Year","30-06-2019       2","30-09-2019       3","31-12-2019       Other","31-03-2020       Other","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1"
"2","Sales/Revenue","6,511.51","5,029.16","7,267.63","3,280.48","1,817.38","2,831.90","2,516.97","2,304.31","2,327.86","3,599.56"
"3","Pretax Income","(2,105.71)","(4,140.07)","(2,812.02)","(4,823.92)","(7,666.86)","(2,932.86)","(3,356.04)","(3,747.10)","(4,612.89)","(475.29)"
"4","Net Income","(2,105.71)","(4,100.57)","(2,810.40)","(4,805.44)","(7,755.09)","(2,924.43)","(3,352.70)","(3,749.57)","(4,667.61)","(502.06)"
"5","Cash & Short-Term Investments","18,440.81","18,869.89","17,934.29","16,757.17","16,693.88","16,161.06","17,450.12","17,764.23","16,767.77","17,956.25"
"6","Cash Only","18,440.81","18,869.89","17,934.29","16,757.17","16,693.88","16,161.06","17,450.12","17,764.23","16,767.77","17,956.25"
"7","Total Accounts Receivables","28,459.64","22,996.76","25,292.87","21,655.04","18,796.08","18,473.93","18,034.27","17,859.98","17,306.65","17,708.05"
"8","Inventories","17,969.11","18,217.38","18,816.11","19,393.08","18,753.83","18,672.98","18,459.54","18,248.87","17,682.52","17,737.74"
"9","Net Property, Plant & Equipment","15,122.05","14,428.96","14,719.53","14,062.14","13,316.74","13,054.93","12,201.97","11,684.32","11,016.70","10,518.79"
"10","Accrued Payable","32,578.51","30,676.21","24,475.27","24,096.21","24,761.81","25,632.10","26,302.19","28,272.45","28,022.66","29,637.82"
"11","Short Term Debt","849.47","850.99","883.45","917.04","951.89","1,010.07","875.81","905.61","692.28","710.61"
"12","Long Term Debt","3,639.54","3,329.98","3,096.71","2,855.34","2,603.55","2,542.37","2,092.56","1,857.21","1,662.66","1,475.58"
"13","Net Operating Cash Flow","(3,219.20)","(9,314.66)","(16,494.62)","(1,644.05)","(4,896.13)","190.80","(304.40)","(143.77)","(891.36)","1,405.57"
"14","Capital Expenditures","(257.35)","(80.25)","(2,893.35)","(38.66)","(43.30)","(113.40)","(116.81)","(62.51)","(80.79)","(32.23)"
"15","Total Shares Outstanding (million)","859,269.08","859,269.08","859,269.08","859,269.08","859,269.08","859,269.08","859,269.08","859,269.08","859,269.08","859,269.08"
