"1","Financial Year","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1","30-06-2019       2"
"2","Sales/Revenue","20,215.00","54,089.00","42,398.00","44,372.60","21,437.00","18,896.00","21,413.00","33,621.20","27,611.00","66,397.00"
"3","Pretax Income","(13,783.00)","1,723.00","(8,095.00)","(118,741.44)","(8,086.00)","(9,412.00)","(23,845.00)","(126,781.90)","(4,305.00)","(5,020.00)"
"4","Net Income","(11,893.00)","2,384.00","(10,759.00)","(125,703.08)","(11,373.00)","(9,466.00)","(21,388.00)","(128,712.59)","(4,415.00)","(4,279.00)"
"5","Cash & Short-Term Investments","37,523.00","71,295.00","66,453.00","55,792.41","57,647.00","60,377.00","58,923.00","81,775.92","71,412.00","77,041.00"
"6","Cash Only","-","-","-","-","36,312.00","38,842.00","10,103.00","34,260.42","26,958.00","31,768.00"
"7","Total Accounts Receivables","210,366.00","254,638.00","208,472.00","221,235.24","149,686.00","141,068.00","155,301.00","120,555.87","131,152.00","142,641.00"
"8","Inventories","2,118.00","2,240.00","2,613.00","1,513.25","1,633.00","1,480.00","1,511.00","1,109.36","1,102.00","1,120.00"
"9","Net Property, Plant & Equipment","439,022.00","427,178.00","456,199.00","391,083.18","383,856.00","364,557.00","357,212.00","334,404.74","322,085.00","310,002.00"
"10","Short Term Debt","89,363.00","136,722.00","146,899.00","130,859.24","114,935.00","113,925.00","112,510.00","35,325.03","37,689.00","35,318.00"
"11","Long Term Debt","59,885.00","15,016.00","24,471.00","20,438.53","20,694.00","15,267.00","15,261.00","87,100.82","87,231.00","86,612.00"
"12","Net Operating Cash Flow","(2,184.00)","33,207.00","(23,578.00)","(4,131.20)","23,061.00","(2,577.00)","1,462.00","35,699.13","(12,115.00)","7,625.00"
"13","Capital Expenditures","-","(364.00)","(2,666.00)","(31,219.49)","(2,995.00)","2,072.00","(1,541.00)","(390.25)","-","-"
"14","Total Shares Outstanding (million)","924,461.00","924,460.92","924,460.92","924,460.92","924,460.92","924,460.92","924,460.92","970,684.94","924,460.92","924,460.92"
