"1","Financial Year","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2"
"2","Sales/Revenue","834.77","825.28","858.27","1,438.57","1,151.40","1,231.49","926.19","701.11","1,749.80","1,323.89"
"3","Pretax Income","(1,730.69)","(1,730.92)","(1,602.23)","(3,252.91)","(941.81)","12.81","(1,370.86)","(1,998.11)","(1,318.07)","(1,418.24)"
"4","Net Income","(1,713.57)","(1,698.54)","(1,599.46)","(3,252.67)","(939.84)","32.18","(1,374.82)","(2,008.27)","(1,323.77)","(1,441.37)"
"5","Cash & Short-Term Investments","58,830.82","57,331.42","56,189.35","55,421.15","53,941.45","54,324.07","53,252.25","52,589.83","50,228.99","50,021.15"
"6","Cash Only","2,772.84","2,926.42","2,849.69","3,076.27","3,073.99","5,465.80","5,580.50","5,496.99","5,538.48","5,549.11"
"7","Total Accounts Receivables","2,218.88","1,867.37","1,598.27","2,194.60","2,225.23","2,012.90","2,324.55","2,645.07","2,722.96","2,326.68"
"8","Net Property, Plant & Equipment","29,255.20","28,874.57","28,947.52","28,020.54","27,768.71","27,428.72","27,195.65","27,034.10","27,192.25","27,255.57"
"9","Short Term Debt","-","15.15","11.07","30.48","44.76","37.18","29.52","21.79","45.96","87.51"
"10","Long Term Debt","-","-","-","49.22","27.43","27.43","27.43","27.43","11.99","137.92"
"11","Net Operating Cash Flow","(1,982.03)","(1,797.46)","(946.92)","(1,537.81)","(1,931.74)","(1,353.91)","(1,400.66)","(974.81)","(2,451.64)","(255.40)"
"12","Capital Expenditures","(34.52)","(52.35)","(501.66)","(106.87)","(15.94)","-","(15.52)","(131.50)","(503.88)","(141.91)"
"13","Total Shares Outstanding (million)","709,130.10","709,130.10","709,130.10","709,130.10","709,130.10","709,130.10","709,130.10","709,130.10","709,130.10","709,130.10"
