"1","Financial Year","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1"
"2","Sales/Revenue","22,060.00","21,193.00","21,738.00","20,592.56","18,257.00"
"3","Pretax Income","1,982.00","(386.00)","2,030.00","1,182.21","365.00"
"4","Net Income","1,856.00","(511.00)","1,525.00","793.83","271.00"
"5","Cash & Short-Term Investments","3,491.00","20,971.00","20,926.00","20,838.93","22,579.00"
"6","Cash Only","1,385.00","845.00","864.00","972.88","3,816.00"
"7","Total Accounts Receivables","19,161.00","15,219.00","16,807.00","15,157.47","13,820.00"
"8","Inventories","74.00","108.00","110.00","109.79","160.00"
"9","Net Property, Plant & Equipment","58,075.00","57,714.00","57,601.00","67,966.85","68,534.00"
"10","Short Term Debt","9,004.00","3,756.00","3,338.00","4,183.33","6,561.00"
"11","Long Term Debt","13,591.00","11,211.00","10,835.00","18,614.65","20,291.00"
"12","Net Operating Cash Flow","(5,432.00)","412.00","974.00","9,264.13","(25.00)"
"13","Capital Expenditures","(151.00)","(329.00)","(326.00)","(1,650.66)","(1,289.00)"
"14","Total Shares Outstanding (million)","122,793.00","166,000.00","166,000.00","166,000.00","166,000.00"
