"1","Financial Year","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019"
"2","Sales/Revenue","10,658.80","18,384.74","20,317.07","16,942.92","10,228.45","10,517.72","12,684.83","13,214.25","16,121.68","15,017.00"
"3","Pretax Income","(5,846.88)","5,612.81","12,491.64","26,954.56","1,206.23","438.38","787.77","1,149.58","3,212.05","4,065.00"
"4","Net Income","(7,397.34)","4,459.40","9,127.92","25,887.78","642.94","2,333.96","3,582.08","1,537.82","3,712.24","3,041.00"
"5","Cash & Short-Term Investments","8,594.13","5,901.19","8,241.39","4,490.50","4,200.04","2,616.78","2,741.03","3,420.09","2,580.95","2,181.00"
"6","Cash Only","8,588.48","5,901.19","8,241.39","4,490.50","4,200.04","2,616.78","2,741.03","3,420.09","2,580.95","2,181.00"
"7","Total Accounts Receivables","4,566.36","3,277.67","5,797.87","2,500.90","5,676.20","9,223.14","4,108.73","6,041.61","4,765.37","5,795.00"
"8","Inventories","285.84","135.93","10.50","46.93","211.23","88.96","91.20","188.39","248.07","344.00"
"9","Net Property, Plant & Equipment","93,944.85","80,906.63","85,770.87","115,264.05","120,942.69","167,848.92","171,230.49","173,464.01","181,583.91","246,023.00"
"10","Accrued Payable","-","-","-","-","8,945.69","7,780.37","6,858.36","12,769.41","17,042.49","16,791.00"
"11","Short Term Debt","-","18.30","19.32","2,573.10","1,164.81","1,873.06","1,895.22","1,962.74","3,124.19","3,298.00"
"12","Long Term Debt","19,555.16","11,985.78","15,047.74","12,377.43","17,670.10","20,751.34","19,944.56","18,490.16","16,104.33","21,420.00"
"13","Net Operating Cash Flow","1,153.24","321.15","6,375.57","1,190.63","6,032.60","2,913.94","7,336.39","7,425.74","11,127.12","3,475.00"
"14","Capital Expenditures","(6,208.77)","(4,830.95)","(6,171.90)","(3,140.79)","(7,275.45)","(8,230.69)","(5,764.63)","(4,637.26)","(10,691.88)","(9,240.00)"
"15","Total Shares Outstanding (million)","60,000.00","70,000.00","70,000.00","70,000.00","70,000.00","70,000.00","70,000.00","70,000.00","70,000.00","70,000.00"
