"1","Financial Year","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","30-06-2019       TTM","",""
"2","Sales/Revenue","39,416.00","66,216.00","85,636.00","86,208.34","94,984.84","93,551.00","",""
"3","Pretax Income","3,328.00","14,955.00","18,240.00","17,217.43","11,605.24","14,183.00","",""
"4","Net Income","2,982.00","12,951.00","15,301.00","14,535.01","12,476.95","15,055.00","",""
"5","Cash & Short-Term Investments","769.00","5,135.00","9,477.00","9,516.05","25,806.13","21,152.03","",""
"6","Cash Only","769.00","5,135.00","9,477.00","9,516.05","11,168.70","17,492.67","",""
"7","Total Accounts Receivables","3,501.00","4,753.00","8,884.00","12,359.58","11,718.75","10,984.94","",""
"8","Inventories","5,992.00","7,680.00","9,355.00","15,269.58","14,769.61","15,040.90","",""
"9","Net Property, Plant & Equipment","13,504.00","18,444.00","34,722.00","43,760.19","69,397.28","67,997.07","",""
"10","Accrued Payable","6,519.00","8,833.00","12,876.00","15,578.31","23,475.11","17,199.78","",""
"11","Short Term Debt","5,501.00","1,332.00","4,417.00","12,523.88","8,124.18","7,804.80","",""
"12","Long Term Debt","894.00","3,325.00","13,007.00","16,704.03","17,572.81","17,203.45","",""
"13","Net Operating Cash Flow","4,519.00","14,395.00","14,781.00","9,007.18","14,132.16","17,600.16","",""
"14","Capital Expenditures","(735.00)","(5,509.00)","(20,339.00)","(10,385.10)","(19,861.98)","(29,626.98)","",""
"15","Total Shares Outstanding (million)","400,000.00","400,000.00","400,000.00","400,000.00","500,000.00","500,000.00","400,000.00","170,977.91"
