"1","Financial Year","30-06-2016","30-06-2017","30-06-2018","30-06-2019","30-06-2020","31-03-2021       TTM","",""
"2","Sales/Revenue","126,983.42","186,607.37","187,465.04","190,020.92","166,128.00","182,303.59","",""
"3","Pretax Income","21,088.10","30,033.99","58,293.30","43,774.43","40,301.00","42,445.03","",""
"4","Net Income","15,890.54","22,630.97","47,506.69","32,950.51","30,189.00","31,549.96","",""
"5","Cash & Short-Term Investments","3,025.09","8,022.04","22,310.92","31,355.90","109,725.00","116,654.75","",""
"6","Cash Only","3,025.09","8,022.04","22,310.92","28,290.44","32,289.00","24,698.00","",""
"7","Total Accounts Receivables","39,208.15","56,620.16","46,188.07","56,290.85","41,814.00","52,878.50","",""
"8","Inventories","11,521.29","24,512.53","19,607.59","24,901.75","25,802.00","23,078.50","",""
"9","Net Property, Plant & Equipment","14,678.59","19,377.59","24,374.41","23,179.86","24,251.00","23,738.50","",""
"10","Short Term Debt","4,627.93","6,920.71","10,105.22","5,567.77","58.00","41.25","",""
"11","Long Term Debt","19,504.73","18,056.53","6,946.35","6,106.66","53.00","49.25","",""
"12","Net Operating Cash Flow","17,720.27","19,231.24","26,082.55","26,259.60","43,228.00","45,376.00","",""
"13","Capital Expenditures","(1,461.71)","(7,013.31)","(2,218.08)","(1,093.21)","(3,944.00)","(964.00)","",""
"14","Total Shares Outstanding (million)","613,455.90","613,455.90","613,455.90","613,455.90","681,617.40","681,617.40","613,455.90","308,893.07"
