"1","Financial Year","31-12-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-03-2017","31-03-2018","31-03-2019","31-03-2019       TTM"
"2","Sales/Revenue","36,272.00","49,431.00","51,940.00","33,730.00","32,771.00","43,193.00","39,524.00","41,170.00","18,129.00","7,603.00","14,683.00"
"3","Pretax Income","(1,305.00)","1,635.00","1,217.00","(3,293.00)","(2,959.00)","(914.00)","(1,641.00)","(2,715.00)","(5,406.00)","(7,525.00)","(7,492.00)"
"4","Net Income","(1,537.00)","1,201.00","638.00","(3,010.00)","(2,735.00)","(1,204.00)","(1,998.00)","(1,991.00)","(5,180.00)","(5,881.00)","(5,849.00)"
"5","Cash & Short-Term Investments","5,067.00","7,750.00","9,269.00","5,537.00","11,209.00","11,865.00","8,290.00","6,049.00","12,885.00","10,125.00","10,125.00"
"6","Cash Only","5,067.00","2,583.00","4,623.00","2,847.00","6,425.00","10,030.00","7,834.00","5,302.00","12,581.00","10,125.00","10,125.00"
"7","Total Accounts Receivables","4,619.00","8,195.00","6,231.00","4,585.00","4,163.00","8,412.00","11,270.00","9,858.00","6,265.00","5,823.00","5,823.00"
"8","Inventories","396.00","301.00","120.00","82.00","629.00","1,572.00","833.00","622.00","437.00","213.00","213.00"
"9","Net Property, Plant & Equipment","4,725.00","4,584.00","4,330.00","4,302.00","3,924.00","4,336.00","4,705.00","4,388.00","7,322.00","21,675.00","21,675.00"
"10","Accrued Payable","485.00","1,296.00","1,780.00","-","-","12,879.00","12,953.00","11,224.00","9,286.00","3,129.00","3,129.00"
"11","Short Term Debt","182.00","195.00","172.00","148.00","157.00","171.00","116.00","127.00","134.00","-","-"
"12","Long Term Debt","2,073.00","1,957.00","1,781.00","1,910.00","1,753.00","2,293.00","2,077.00","1,919.00","1,785.00","13,900.00","13,900.00"
"13","Net Operating Cash Flow","1,514.00","3,229.00","2,395.00","(1,895.00)","(2,132.00)","(1,111.00)","(3,478.00)","(2,569.00)","(2,405.00)","(5,448.00)","(5,448.00)"
"14","Capital Expenditures","(327.00)","(441.00)","(331.00)","(648.00)","(296.00)","(328.00)","(234.00)","(73.00)","(6,554.00)","(1,863.00)","(1,863.00)"
"15","Total Shares Outstanding (million)","102,774.00","102,774.00","102,774.00","102,775.00","178,904.00","196,794.00","196,794.00","200,714.00","258,289.00","324,864.34","200,714.00"
"16","Financial Year","31-12-2016       Other","31-03-2017       Other","30-06-2017       1","30-09-2017       2","31-12-2017       3","31-03-2018       4","30-06-2018       1","30-09-2018       2","31-12-2018       3","31-03-2019       4","31-03-2019       4"
"16","Pretax Income","(488.00)","(2,283.00)","(1,069.00)","(833.00)","(1,058.00)","(2,446.00)","(1,589.00)","(1,465.00)","(2,200.00)","(2,238.00)","(2,238.00)"
"17","Net Income","(455.00)","(1,399.00)","(925.00)","(686.00)","(999.00)","(2,570.00)","(1,488.00)","(1,588.00)","(520.00)","(2,253.00)","(2,253.00)"
"17","Sales/Revenue","6,050.00","8,636.00","4,309.00","4,800.00","4,674.00","4,346.00","4,744.00","5,662.00","1,807.00","2,470.00","2,470.00"
"18","Cash & Short-Term Investments","5,935.00","6,049.00","4,655.00","9,908.00","15,191.00","12,885.00","10,940.00","18,489.00","13,500.00","10,125.00","10,125.00"
"19","Cash Only","5,183.00","5,302.00","4,355.00","9,608.00","14,891.00","12,581.00","10,815.00","18,358.00","13,500.00","10,125.00","10,125.00"
"20","Total Accounts Receivables","8,116.00","9,817.00","7,496.00","6,926.00","10,042.00","6,265.00","6,387.00","6,512.00","4,166.00","5,823.00","5,823.00"
"21","Inventories","666.00","622.00","643.00","752.00","602.00","437.00","453.00","454.00","451.00","213.00","213.00"
"22","Net Property, Plant & Equipment","4,451.00","4,388.00","4,290.00","4,235.00","4,189.00","7,322.00","7,935.00","8,219.00","8,296.00","21,675.00","21,675.00"
"23","Accrued Payable","7,128.00","11,086.00","8,505.00","8,729.00","9,408.00","9,286.00","9,099.00","10,328.00","3,349.00","3,129.00","3,129.00"
"24","Short Term Debt","136.00","-","129.00","130.00","133.00","134.00","132.00","132.00","133.00","-","-"
"25","Long Term Debt","1,939.00","1,918.00","1,885.00","1,852.00","1,819.00","1,785.00","1,754.00","1,722.00","1,690.00","13,900.00","13,900.00"
"26","Net Operating Cash Flow","(1,135.00)","176.00","(1,351.00)","(59.00)","(3,295.00)","2,300.00","(1,793.00)","(142.00)","(1,596.00)","(1,917.00)","(1,917.00)"
"27","Capital Expenditures","(35.00)","(25.00)","(5.00)","(2.00)","(8.00)","(6,539.00)","(704.00)","(510.00)","(379.00)","(270.00)","(270.00)"
"28","Total Shares Outstanding (million)","200,714.00","200,714.00","200,714.00","223,414.44","241,924.44","258,289.00","262,480.20","324,863.50","324,863.50","324,864.34","324,864.34"
