"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM","","","","",""
"2","Sales/Revenue","20,664.89","76,134.67","80,032.76","82,150.75","86,360.84","","","","",""
"3","Pretax Income","14,767.04","46,667.41","40,605.63","40,301.41","41,346.68","","","","",""
"4","Net Income","14,767.04","46,667.41","40,605.63","40,301.41","41,346.68","","","","",""
"5","Cash & Short-Term Investments","16,197.64","6,355.66","12,651.28","12,489.62","9,492.85","","","","",""
"6","Cash Only","16,197.64","6,355.66","12,651.28","12,489.62","9,492.85","","","","",""
"7","Total Accounts Receivables","12,041.57","7,768.16","8,604.93","10,675.69","18,119.51","","","","",""
"8","Net Property, Plant & Equipment","-","143.98","557.19","895.14","1,094.67","","","","",""
"9","Accrued Payable","-","-","-","-","11,051.08","","","","",""
"10","Long Term Debt","345,910.94","346,804.96","347,698.97","509,527.60","490,667.15","","","","",""
"11","Net Operating Cash Flow","26,121.92","52,862.19","47,809.50","52,447.50","58,924.85","","","","",""
"12","Capital Expenditures","-","(152.29)","(434.53)","(397.91)","(1,719.60)","","","","",""
"13","Total Shares Outstanding (million)","580,000.00","580,000.00","580,000.00","580,000.00","580,000.00","580,000.00","686,401.60","","",""
