"1","Financial Year","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","30-09-2021       TTM","30-09-2021       TTM"
"2","Sales/Revenue","17,645.44","24,008.89","30,492.38","58,284.13","73,748.60","120,318.60","120,318.60"
"3","Pretax Income","3,614.75","4,544.97","7,010.29","9,147.93","10,313.69","15,428.69","15,428.69"
"4","Net Income","2,709.49","3,020.01","5,173.36","6,916.96","7,317.62","11,591.62","11,591.62"
"5","Cash & Short-Term Investments","525.54","2,646.63","1,192.58","2,314.14","18,596.58","14,225.50","14,225.50"
"6","Cash Only","525.54","2,646.63","1,192.58","2,314.14","16,592.14","13,724.50","13,724.50"
"7","Total Accounts Receivables","52,302.68","11,713.42","15,737.69","18,947.18","31,406.02","41,334.00","41,334.00"
"8","Inventories","-","-","-","-","-","2,500.00","2,500.00"
"9","Net Property, Plant & Equipment","4,503.75","4,126.14","4,415.55","7,536.37","7,935.70","7,764.75","7,764.75"
"10","Accrued Payable","46,682.15","2,309.00","2,523.35","4,210.30","4,454.10","-","-"
"11","Short Term Debt","480.92","376.28","41.13","245.06","308.92","329.00","329.00"
"12","Long Term Debt","1,582.82","1,468.69","1,434.50","1,627.24","1,393.83","1,335.50","1,335.50"
"13","Net Operating Cash Flow","1,366.14","2,002.28","1,255.74","6,128.68","(2,601.50)","(16,467.00)","(16,467.00)"
"14","Capital Expenditures","(1,062.24)","(33.84)","(714.32)","(3,305.38)","(1,280.29)","(410.00)","(410.00)"
"15","Total Shares Outstanding (million)","328,800.00","328,800.00","328,800.00","328,800.00","411,000.00","411,000.00","328,800.00"
