"1","Financial Year","31-03-2016","31-03-2017","31-03-2018","31-03-2019","31-03-2020","31-12-2020       TTM","31-12-2020       TTM"
"2","Sales/Revenue","249,243.34","298,958.53","341,320.33","339,013.46","380,346.00","395,382.69","395,382.69"
"3","Pretax Income","41,117.82","74,534.12","95,218.73","72,591.04","88,675.00","68,555.13","68,555.13"
"4","Net Income","32,610.44","57,660.85","70,971.12","47,346.83","63,747.00","47,046.78","47,046.78"
"5","Cash & Short-Term Investments","107,164.60","111,197.79","109,784.53","102,487.80","191,806.00","228,533.83","228,533.83"
"6","Cash Only","84,480.10","48,649.32","89,552.05","48,473.75","-","-","-"
"7","Total Accounts Receivables","138,759.09","141,378.83","143,555.79","119,839.41","117,051.00","105,843.83","105,843.83"
"8","Inventories","75,805.40","236,276.50","231,612.05","234,097.44","357,763.00","347,102.18","347,102.18"
"9","Net Property, Plant & Equipment","66,624.63","63,926.61","77,346.97","95,379.86","100,579.00","101,456.87","101,456.87"
"10","Accrued Payable","-","-","-","-","144,644.00","137,598.39","137,598.39"
"11","Short Term Debt","22,942.50","32,624.18","21,794.33","28,892.30","22,442.00","24,190.22","24,190.22"
"12","Long Term Debt","50,955.49","218,274.98","197,909.44","186,948.75","260,783.00","252,899.38","252,899.38"
"13","Net Operating Cash Flow","(28,980.73)","(110,833.02)","100,153.14","45,920.68","(40,090.00)","165,225.00","165,225.00"
"14","Capital Expenditures","(2,892.88)","(2,577.73)","(16,435.06)","(23,482.17)","(11,086.00)","(15,251.00)","(15,251.00)"
"15","Total Shares Outstanding (million)","341,692.10","341,692.10","341,692.10","341,692.10","427,115.10","427,115.10","341,692.10"
