"1","Financial Year","31-12-2018       2","31-03-2019       3","30-06-2019       4","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       Other"
"2","Sales/Revenue","2,937.00","1,473.00","223.37","895.00","601.00","77.00","7,080.02","91.00","140.00","1,139.00"
"3","Pretax Income","2,391.00","370.00","(2,212.60)","(157.00)","(669.00)","(1,417.00)","(1,712.56)","(861.00)","(3,353.00)","462.00"
"4","Net Income","2,391.00","370.00","(2,204.46)","(157.00)","(669.00)","(1,417.00)","(1,711.97)","(861.00)","(3,353.00)","417.00"
"5","Cash & Short-Term Investments","992.00","906.00","895.14","841.00","993.00","741.00","382.00","254.00","1,056.00","5,632.00"
"6","Cash Only","329.00","238.00","895.14","162.00","314.00","47.00","382.00","254.00","1,056.00","5,632.00"
"7","Total Accounts Receivables","28,429.00","28,934.00","30,293.47","30,375.00","28,027.00","28,378.00","27,270.00","28,310.00","24,777.00","7,196.00"
"8","Net Property, Plant & Equipment","133.00","1,306.00","2,165.17","2,056.00","2,903.00","2,640.00","2,443.00","2,272.00","2,305.00","2,172.00"
"9","Short Term Debt","-","-","-","182.00","168.00","155.00","155.00","149.00","99.00","177.00"
"10","Long Term Debt","-","-","-","-","688.00","649.00","588.00","536.00","597.00","477.00"
"11","Net Operating Cash Flow","(2,419.00)","1,150.00","(2,552.51)","(9.00)","340.00","(1,016.00)","(407.00)","(2,757.00)","156.00","4,667.00"
"12","Capital Expenditures","-","(1,236.00)","(4,315.87)","(11.00)","(193.00)","29.00","(41.00)","-","-","(50.00)"
"13","Total Shares Outstanding (million)","598,956.39","598,956.39","707,176.39","-","707,176.39","707,176.39","707,176.39","856,507.59","856,507.59","856,507.59"
