"1","Financial Year","30-06-2015","30-06-2016","30-06-2017","30-06-2018","30-06-2019","31-03-2020       TTM","31-03-2020       TTM"
"2","Sales/Revenue","63,626.80","75,861.84","82,363.85","86,811.28","81,379.00","77,477.00","77,477.00"
"3","Pretax Income","12,640.51","15,517.36","18,996.58","17,098.66","10,158.00","13,759.00","13,759.00"
"4","Net Income","9,478.96","11,688.45","14,552.63","13,419.84","7,073.00","10,343.00","10,343.00"
"5","Cash & Short-Term Investments","8,790.56","13,140.06","18,624.48","27,676.17","66,135.00","62,769.50","62,769.50"
"6","Cash Only","6,616.88","11,637.39","12,263.18","16,840.93","66,135.00","62,769.50","62,769.50"
"7","Total Accounts Receivables","14,273.16","15,254.11","16,601.15","19,799.02","18,595.00","17,976.50","17,976.50"
"8","Inventories","21,960.76","24,927.56","25,342.96","24,817.22","25,363.00","21,606.50","21,606.50"
"9","Net Property, Plant & Equipment","17,591.35","16,723.03","16,133.99","16,865.31","21,822.00","31,506.00","31,506.00"
"10","Short Term Debt","447.52","461.41","475.25","-","-","-","-"
"11","Long Term Debt","1,138.61","682.80","206.38","-","-","-","-"
"12","Net Operating Cash Flow","3,667.29","9,303.36","11,391.82","16,123.02","6,485.00","19,323.00","19,323.00"
"13","Capital Expenditures","(1,968.99)","(211.89)","(530.36)","(2,126.49)","(6,203.00)","(23,178.00)","(23,178.00)"
"14","Total Shares Outstanding (million)","230,000.00","230,000.00","230,000.00","230,000.00","230,000.00","230,000.00","230,000.00"
