"1","Financial Year","31-12-2018       3","31-03-2019       4","30-06-2019       1","30-09-2019       2","31-12-2019       3","31-03-2020       4","30-06-2020       1","30-09-2020       2","31-12-2020       3","31-03-2021       4"
"2","Sales/Revenue","12,643.00","14,110.43","13,782.00","11,823.00","10,299.00","11,180.93","9,840.00","10,739.00","10,541.00","10,763.00"
"3","Pretax Income","(3,882.00)","(7,031.81)","6.00","(1,407.00)","(2,768.00)","(9,742.88)","4,660.00","1,232.00","(1,514.00)","(1,138.00)"
"4","Net Income","(3,888.00)","(5,848.23)","6.00","(1,407.00)","(2,768.00)","(9,638.75)","4,660.00","1,224.00","(1,514.00)","861.00"
"5","Cash & Short-Term Investments","1,450.00","13,426.18","11,864.00","10,608.00","9,889.00","5,759.00","24,663.00","16,760.00","12,378.00","10,121.00"
"6","Cash Only","243.00","-","314.00","263.00","257.00","370.00","-","1,760.00","1,378.00","4,112.00"
"7","Total Accounts Receivables","17,221.00","17,124.05","15,513.00","13,569.00","17,593.00","11,536.00","10,675.00","10,250.00","10,662.00","10,466.00"
"8","Inventories","8,052.00","7,255.69","7,589.00","7,522.00","7,454.00","9,183.00","10,950.00","11,110.00","10,651.00","11,178.00"
"9","Net Property, Plant & Equipment","45,307.00","44,601.44","48,073.00","48,703.00","47,812.00","46,936.00","48,122.00","47,131.00","48,503.00","49,324.00"
"10","Accrued Payable","16,927.00","19,641.86","14,021.00","11,262.00","16,353.00","16,375.00","13,964.00","11,432.00","11,336.00","10,252.00"
"11","Short Term Debt","16,600.00","16,426.34","14,582.00","16,021.00","16,078.00","16,680.00","9,361.00","1,773.00","290.00","335.00"
"12","Long Term Debt","635.00","298.05","328.00","418.00","383.00","319.00","303.00","357.00","271.00","247.00"
"13","Net Operating Cash Flow","951.00","1,040.44","(3,645.00)","(1,244.00)","281.00","98.00","(5,769.00)","2,400.00","878.00","(1,932.00)"
"14","Capital Expenditures","(111.00)","(117.07)","-","-","(350.00)","(677.00)","(1,504.00)","1,147.00","(3,694.00)","(1,201.00)"
"15","Total Shares Outstanding (million)","129,072.48","129,072.48","141,979.68","141,979.68","141,979.68","141,979.68","254,635.22","254,635.22","254,635.22","254,635.22"
