"1","Financial Year","30-09-2019       2","31-12-2019       3","31-03-2020       4","30-06-2020       1","30-09-2020       2","31-12-2020       3","31-03-2021       4","30-06-2021       1","30-09-2021       2","31-12-2021       3"
"2","Sales/Revenue","11,823.00","10,299.00","11,180.93","9,840.00","10,739.00","10,541.00","10,762.77","11,331.00","10,066.00","12,824.00"
"3","Pretax Income","(1,407.00)","(2,768.00)","(9,742.88)","4,660.00","1,232.00","(1,514.00)","(1,011.76)","(429.00)","(65.00)","586.00"
"4","Net Income","(1,407.00)","(2,768.00)","(9,638.75)","4,660.00","1,224.00","(1,514.00)","986.82","(332.00)","23.00","931.00"
"5","Cash & Short-Term Investments","10,608.00","9,889.00","5,759.00","24,663.00","16,760.00","12,378.00","10,121.00","7,885.00","5,696.00","20,038.00"
"6","Cash Only","263.00","257.00","370.00","-","1,760.00","1,378.00","4,112.00","1,876.00","1,170.00","15,495.00"
"7","Total Accounts Receivables","13,569.00","17,593.00","11,536.00","10,675.00","10,250.00","10,662.00","10,466.00","11,327.00","9,979.00","10,306.00"
"8","Inventories","7,522.00","7,454.00","9,183.00","10,950.00","11,110.00","10,651.00","11,178.00","11,166.00","13,555.00","15,996.00"
"9","Net Property, Plant & Equipment","48,703.00","47,812.00","46,936.00","48,122.00","47,131.00","48,503.00","49,324.00","52,065.00","52,791.00","72,486.00"
"10","Accrued Payable","11,262.00","16,353.00","16,375.00","13,964.00","11,432.00","11,336.00","10,252.00","11,071.00","10,930.00","17,299.00"
"11","Short Term Debt","16,021.00","16,078.00","16,680.00","9,361.00","1,773.00","290.00","335.00","637.00","378.00","2,374.00"
"12","Long Term Debt","418.00","383.00","319.00","303.00","357.00","271.00","247.00","967.00","947.00","17,183.00"
"13","Net Operating Cash Flow","(1,244.00)","281.00","98.00","(5,769.00)","2,400.00","878.00","(1,932.00)","178.00","13.00","3,839.00"
"14","Capital Expenditures","-","(350.00)","(677.00)","(1,504.00)","1,147.00","(3,694.00)","(1,201.00)","(2,784.00)","(2,119.00)","(2,625.00)"
"15","Total Shares Outstanding (million)","141,979.68","141,979.68","141,979.68","254,635.22","254,635.22","254,635.22","254,635.22","254,635.22","254,635.22","280,098.72"
