"1","Financial Year","31-08-2019       4","30-11-2019       1","29-02-2020       2","31-05-2020       3","31-08-2020       Other","30-11-2020       Other","31-12-2020       Other","31-03-2021       1","30-06-2021       2","30-09-2021       3"
"2","Sales/Revenue","74,808.00","70,374.00","80,909.00","22,502.00","60,604.00","44,740.00","24,147.00","68,046.00","59,658.00","62,708.00"
"3","Pretax Income","(59,412.00)","(10,110.00)","(8,004.00)","(10,713.00)","(10,613.00)","(11,098.00)","(12,997.00)","1,122.00","(2,565.00)","2,230.00"
"4","Net Income","(59,998.00)","(10,170.00)","(7,965.00)","(10,796.00)","(10,742.00)","(10,807.00)","(13,210.00)","1,087.00","(3,117.00)","2,157.00"
"5","Cash & Short-Term Investments","42,282.00","41,605.00","48,385.00","55,265.00","35,650.00","30,313.00","36,172.00","34,401.00","100,933.00","57,888.00"
"6","Cash Only","42,282.00","41,605.00","48,385.00","55,265.00","35,650.00","30,313.00","36,172.00","34,401.00","100,933.00","57,888.00"
"7","Total Accounts Receivables","238,553.00","236,807.00","192,085.00","138,840.00","143,977.00","144,770.00","116,705.00","126,879.00","96,597.00","137,049.00"
"8","Inventories","34,609.00","32,742.00","34,554.00","38,429.00","31,593.00","28,153.00","30,416.00","27,901.00","31,125.00","35,115.00"
"9","Net Property, Plant & Equipment","75,455.00","72,571.00","71,744.00","70,105.00","68,314.00","65,324.00","62,787.00","60,860.00","59,301.00","57,655.00"
"10","Accrued Payable","137,636.00","130,440.00","120,208.00","83,870.00","62,262.00","54,777.00","56,119.00","55,807.00","50,678.00","65,906.00"
"11","Short Term Debt","106,119.00","97,021.00","90,789.00","88,333.00","86,782.00","80,615.00","69,012.00","70,003.00","67,748.00","61,198.00"
"12","Long Term Debt","13,343.00","11,824.00","11,519.00","10,449.00","10,204.00","9,861.00","10,366.00","9,853.00","9,117.00","8,484.00"
"13","Net Operating Cash Flow","4,892.00","(706.00)","16,126.00","11,490.00","(16,896.00)","(16,981.00)","1,188.00","(2,138.00)","13,171.00","(35,903.00)"
"14","Capital Expenditures","(89.00)","(53.00)","(111.00)","(1,087.00)","(1,241.00)","(1,534.00)","(1,756.00)","(276.00)","(241.00)","(184.00)"
"15","Total Shares Outstanding (million)","465,165.00","-","511,665.20","511,665.20","511,665.20","511,665.20","511,665.20","511,665.20","709,440.56","740,712.16"
