"1","Financial Year","31-03-2019       4","30-06-2019       Other","30-09-2019       Other","31-12-2019       Other","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2"
"2","Sales/Revenue","594,679.00","572,953.00","549,997.00","559,584.00","558,525.00","606,083.00","623,027.00","544,627.00","595,277.00","533,891.00"
"3","Pretax Income","(134,495.00)","(14,745.00)","(35,477.00)","(190,342.00)","(46,712.00)","(13,802.00)","(10,062.00)","(231,436.00)","(45,787.00)","(119,090.00)"
"4","Net Income","(141,129.00)","(15,100.00)","(29,338.00)","(171,141.00)","(49,222.00)","(19,021.00)","(7,427.00)","(232,348.00)","(46,782.00)","(121,844.00)"
"5","Cash & Short-Term Investments","421,084.00","453,815.00","387,662.00","331,444.00","299,460.00","366,058.00","361,402.00","389,306.00","369,892.00","344,445.00"
"6","Cash Only","-","-","-","166,619.00","-","-","-","-","-","-"
"7","Total Accounts Receivables","805,558.00","1,032,687.00","1,021,371.00","771,335.00","1,051,381.00","1,056,622.00","1,035,291.00","1,009,951.00","974,736.00","966,881.00"
"8","Inventories","11,418.00","13,215.00","11,815.00","7,049.00","9,263.00","9,027.00","8,668.00","6,660.00","7,106.00","7,446.00"
"9","Net Property, Plant & Equipment","1,426,040.00","1,684,257.00","1,660,761.00","1,619,248.00","1,590,064.00","1,536,426.00","1,575,641.00","1,515,864.00","1,503,890.00","1,411,487.00"
"10","Accrued Payable","982,710.00","968,648.00","971,742.00","-","943,296.00","1,018,949.00","1,010,863.00","998,963.00","989,898.00","936,365.00"
"11","Short Term Debt","294,717.00","344,770.00","342,113.00","379,204.00","399,325.00","352,973.00","363,219.00","504,112.00","481,298.00","492,049.00"
"12","Long Term Debt","200,313.00","525,755.00","486,116.00","498,181.00","466,251.00","473,113.00","497,300.00","469,632.00","482,279.00","522,315.00"
"13","Net Operating Cash Flow","24,346.00","(39,633.00)","3,943.00","(87,188.00)","35,997.00","105,014.00","71,376.00","(42,294.00)","19,773.00","(56,590.00)"
"14","Capital Expenditures","(54,429.00)","7,921.00","23,272.00","64,360.00","(15,767.00)","(16,874.00)","(29,995.00)","(15,628.00)","(10,429.00)","(14,110.00)"
"15","Total Shares Outstanding (million)","782,777.00","782,777.00","782,777.00","782,777.00","782,776.84","782,776.84","782,776.84","782,776.84","782,776.84","782,776.84"
