"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","66,402.00","76,847.00","80,783.00","61,875.94","61,887.94"
"3","Pretax Income","8,035.00","11,847.00","9,003.00","4,189.82","4,639.82"
"4","Net Income","6,345.00","9,470.00","7,110.00","2,998.28","3,378.28"
"5","Cash & Short-Term Investments","14,676.00","13,916.00","10,285.00","17,023.06","19,330.00"
"6","Cash Only","14,676.00","13,916.00","10,285.00","17,023.06","19,330.00"
"7","Total Accounts Receivables","26,670.00","27,852.00","25,058.00","18,435.93","13,372.00"
"8","Inventories","9,835.00","7,782.00","9,698.00","6,078.82","7,912.00"
"9","Net Property, Plant & Equipment","8,295.00","11,156.00","11,107.00","11,166.79","13,936.00"
"10","Short Term Debt","802.00","1,605.00","1,274.00","762.05","1,672.00"
"11","Long Term Debt","5,266.00","9,637.00","8,925.00","1,911.92","1,923.00"
"12","Net Operating Cash Flow","8,746.00","1,810.00","6,048.00","4,427.07","5,045.07"
"13","Capital Expenditures","(3,669.00)","(3,404.00)","(281.00)","(732.55)","(550.55)"
"14","Total Shares Outstanding (million)","397,120.00","397,120.00","397,120.00","525,200.00","525,200.00"
