"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","31-12-2021"
"2","Sales/Revenue","180,711.00","253,058.00","157,951.00","181,636.00","76,596.00","271,782.00","122,058.00","219,048.00","108,247.00","22,154.00"
"3","Pretax Income","16,145.00","34,614.00","6,183.00","20,554.00","(14,918.00)","66,192.00","(12,201.00)","(3,188.00)","1,518.00","(31,197.00)"
"4","Net Income","13,026.00","26,661.00","3,362.00","6,835.00","(16,026.00)","48,121.00","(6,604.00)","(4,744.00)","(1,677.00)","(27,929.00)"
"5","Cash & Short-Term Investments","45,556.00","77,658.00","56,361.00","102,613.00","47,521.00","45,057.00","40,177.00","41,932.00","41,720.00","41,459.00"
"6","Cash Only","16,048.00","40,024.00","20,292.00","59,967.00","3,503.00","3,061.00","2,764.00","760.00","41,720.00","41,459.00"
"7","Total Accounts Receivables","106,072.00","197,837.00","108,441.00","195,916.00","170,789.00","351,483.00","428,654.00","456,914.00","176,731.00","143,153.00"
"8","Inventories","390,197.00","267,859.00","746,876.00","859,151.00","983,955.00","1,194,029.00","1,201,836.00","1,222,976.00","1,242,025.00","1,216,893.00"
"9","Net Property, Plant & Equipment","190,125.00","1,048.00","1,770.00","4,302.00","3,839.00","3,545.00","2,795.00","2,210.00","1,701.00","1,322.00"
"10","Accrued Payable","3,571.00","4,224.00","7,318.00","35,725.00","38,131.00","-","61,365.00","-","514,479.00","235,565.00"
"11","Short Term Debt","16,162.00","63,619.00","6,269.00","90,290.00","127,773.00","27,193.00","9,884.00","184,950.00","140,912.00","169,351.00"
"12","Long Term Debt","1,427.00","1,409.00","200,504.00","108,814.00","14,614.00","211,650.00","231,197.00","66,497.00","46,237.00","-"
"13","Net Operating Cash Flow","(5,263.00)","(13,918.00)","(128,977.00)","108,873.00","(59,139.00)","(79,562.00)","(63,899.00)","(9,634.00)","56,055.00","(23,241.00)"
"14","Capital Expenditures","(68.00)","(82.00)","(586.00)","(867.00)","(107.00)","(138.00)","(24.00)","(24.00)","(9.00)","(4.00)"
"15","Total Shares Outstanding (million)","669,727.00","669,727.14","669,727.00","669,727.00","736,700.00","837,389.00","837,389.00","837,389.00","837,389.00","921,127.74"
