"1","Financial Year","30-06-2019       4","30-09-2019       1","31-12-2019       Other","31-03-2020       Other","30-06-2020       Other","31-08-2020       Other","30-11-2020       1","28-02-2021       2","31-05-2021       3","31-08-2021       4"
"2","Sales/Revenue","93,815.00","43,759.00","76,188.00","52,552.00","32,158.00","62,414.00","87,471.00","104,937.00","93,645.00","60,742.00"
"3","Pretax Income","22,903.00","23,843.00","18,374.00","5,412.00","3,261.00","20,743.00","23,273.00","26,808.00","26,278.00","9,139.00"
"4","Net Income","14,789.00","11,128.00","11,708.00","3,039.00","1,317.00","15,228.00","15,091.00","17,514.00","16,388.00","5,122.00"
"5","Cash & Short-Term Investments","30,942.00","57,177.00","49,935.00","30,853.00","22,294.00","16,309.00","30,506.00","13,551.00","52,800.00","141,245.00"
"6","Cash Only","20,738.00","32,424.00","39,333.00","4,063.00","13,892.00","9,537.00","8,028.00","9,202.00","13,601.00","17,824.00"
"7","Total Accounts Receivables","233,840.00","212,115.00","222,356.00","209,603.00","207,428.00","219,431.00","202,132.00","292,430.00","285,469.00","263,590.00"
"8","Inventories","183,306.00","203,130.00","198,142.00","313,052.00","353,553.00","348,694.00","315,934.00","286,362.00","298,998.00","296,154.00"
"9","Net Property, Plant & Equipment","61,246.00","62,370.00","62,108.00","61,893.00","61,311.00","61,739.00","61,312.00","60,512.00","60,109.00","59,406.00"
"10","Accrued Payable","96,519.00","105,290.00","110,369.00","209,158.00","218,909.00","231,338.00","215,012.00","232,584.00","219,191.00","237,607.00"
"11","Short Term Debt","149,620.00","160,329.00","164,129.00","181,141.00","190,783.00","194,655.00","243,833.00","243,897.00","280,766.00","269,455.00"
"12","Long Term Debt","97,714.00","94,965.00","93,372.00","87,591.00","83,005.00","79,773.00","75,425.00","70,607.00","66,167.00","65,219.00"
"13","Net Operating Cash Flow","25,986.00","25,789.00","11,015.00","20,712.00","(7,923.00)","7,258.00","36,926.00","13,006.00","20,919.00","4,493.00"
"14","Capital Expenditures","(429.00)","(380.00)","(144.00)","(585.00)","(197.00)","(423.00)","(115.00)","(159.00)","(219.00)","(84.00)"
"15","Total Shares Outstanding (million)","154,858.00","154,858.00","154,858.00","154,858.00","154,848.00","154,858.00","154,858.00","154,858.00","416,923.78","464,575.18"
