"1","Financial Year","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3"
"2","Sales/Revenue","15,610.00","16,757.00","16,225.18","16,168.00","16,486.00","17,544.00","17,193.77","18,056.00","18,209.00","18,355.00"
"3","Pretax Income","(2,225.00)","(1,945.00)","282.89","(863.00)","141.00","918.00","561.21","154.00","178.00","318.00"
"4","Net Income","(2,381.00)","(2,015.00)","(209.23)","(890.00)","105.00","915.00","454.41","185.00","(63.00)","162.00"
"5","Cash & Short-Term Investments","18,250.00","18,641.00","19,287.91","18,544.00","21,026.00","21,243.00","21,685.00","19,320.00","19,649.00","23,278.00"
"6","Cash Only","7,139.00","8,078.00","15,787.91","7,109.00","10,241.00","9,418.00","9,071.00","10,957.00","9,681.00","13,375.00"
"7","Total Accounts Receivables","15,449.00","13,913.00","13,948.57","14,621.00","11,997.00","10,814.00","10,219.00","7,467.00","8,878.00","7,261.00"
"8","Inventories","14,341.00","13,239.00","14,174.70","15,596.00","15,042.00","14,268.00","14,202.00","13,917.00","15,177.00","14,967.00"
"9","Net Property, Plant & Equipment","35,498.00","34,625.00","35,384.71","35,154.00","34,653.00","34,040.00","33,681.00","33,142.00","32,761.00","32,568.00"
"10","Short Term Debt","829.00","826.00","1,186.72","811.00","832.00","789.00","772.00","776.00","1,160.00","1,173.00"
"11","Long Term Debt","1,355.00","1,284.00","1,311.85","1,554.00","1,430.00","1,398.00","1,217.00","1,131.00","1,037.00","1,105.00"
"12","Net Operating Cash Flow","(1,836.00)","1,523.00","(30.69)","(286.00)","2,662.00","292.00","2,055.00","1,201.00","(1,653.00)","3,599.00"
"13","Capital Expenditures","(1,035.00)","(915.00)","1,581.77","(483.00)","(69.00)","(16.00)","(972.00)","(893.00)","(38.00)","(93.00)"
"14","Total Shares Outstanding (million)","712,642.90","712,642.90","712,642.90","712,642.90","712,642.90","712,642.90","712,642.90","712,642.90","720,000.00","720,000.00"
