"1","Financial Year","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","30-06-2019","31-12-2019       TTM","",""
"2","Sales/Revenue","1,323,259.00","1,454,445.00","1,906,491.00","3,024,940.00","4,185,361.00","2,792,610.00","2,197,514.00","2,089,974.00","",""
"3","Pretax Income","904,759.00","1,120,404.00","1,130,326.00","1,524,699.00","1,436,625.00","1,071,532.00","1,085,960.00","1,070,744.00","",""
"4","Net Income","693,621.00","889,918.00","890,702.00","1,080,018.00","920,870.00","783,631.00","661,290.00","670,853.00","",""
"5","Cash & Short-Term Investments","442,389.00","958,881.00","1,909,639.00","2,086,985.00","2,382,562.00","2,683,320.00","1,576,885.00","1,542,489.75","",""
"6","Cash Only","281,935.00","131,216.00","441,053.00","1,275,486.00","688,419.00","547,588.00","1,121,758.00","829,468.25","",""
"7","Total Accounts Receivables","492,432.00","498,177.00","945,924.00","957,956.00","1,428,441.00","572,917.00","630,993.00","605,332.75","",""
"8","Inventories","2,001,747.00","2,308,206.00","3,658,125.00","4,856,653.00","5,850,187.00","5,541,180.00","5,615,539.00","5,581,160.75","",""
"9","Net Property, Plant & Equipment","991,431.00","1,047,300.00","1,120,101.00","1,122,322.00","1,137,912.00","1,167,505.00","1,265,538.00","1,293,522.00","",""
"10","Accrued Payable","486,495.00","-","-","-","-","-","-","998,238.75","",""
"11","Short Term Debt","-","750,000.00","560,360.00","464,450.00","7,703,993.00","2,379,320.00","1,176,252.00","954,595.00","",""
"12","Long Term Debt","502,420.00","1,307,230.00","2,238,650.00","3,797,582.00","4,790,513.00","9,573,746.00","10,150,209.00","10,223,121.00","",""
"13","Net Operating Cash Flow","459,044.00","851,502.00","334,262.00","111,094.00","34,988.00","1,531,320.00","756,595.00","564,880.00","",""
"14","Capital Expenditures","(231,287.00)","(97,849.00)","(182,631.00)","(69,449.00)","(109,077.00)","(36,621.00)","(125,949.00)","(227,336.00)","",""
"15","Total Shares Outstanding (million)","3,587,081.21","3,587,069.04","4,057,535.37","4,751,570.17","5,506,145.00","5,506,145.00","5,506,145.00","5,506,145.00","5,506,145.00","485,438.39"
