"1","Financial Year","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM","31-03-2019       TTM"
"2","Sales/Revenue","372,446.00","319,527.46","406,307.62","534,163.22","272,510.91","330,058.01","469,468.05","585,329.88","544,182.88","544,182.88"
"3","Pretax Income","71,593.00","31,892.37","72,505.49","106,255.68","(7,874.32)","43,649.55","81,220.36","86,961.91","77,746.91","77,746.91"
"4","Net Income","48,235.00","21,613.14","42,840.00","52,948.22","(9,666.03)","22,631.48","48,034.75","61,209.89","55,992.89","55,992.89"
"5","Cash & Short-Term Investments","50,955.00","90,000.94","63,387.69","48,348.53","43,203.20","35,443.72","144,514.27","129,899.79","135,383.70","135,383.70"
"6","Cash Only","19,721.00","10,704.68","7,607.74","11,553.85","6,678.09","2,396.77","11,222.49","-","-","-"
"7","Total Accounts Receivables","202,935.00","190,178.91","307,428.18","405,683.83","459,720.55","506,646.85","600,169.63","789,688.61","806,409.53","806,409.53"
"8","Inventories","113,215.00","156,459.94","204,400.78","219,996.53","262,422.16","270,089.32","224,773.90","378,990.29","353,434.57","353,434.57"
"9","Net Property, Plant & Equipment","8,485.00","11,168.14","18,030.62","54,525.73","55,060.95","43,582.89","32,253.10","30,921.97","30,920.74","30,920.74"
"10","Accrued Payable","-","-","-","-","-","-","-","-","658,699.25","658,699.25"
"11","Short Term Debt","38,749.00","49,290.71","99,702.75","160,777.44","211,713.95","195,889.57","158,976.64","176,787.07","179,690.77","179,690.77"
"12","Long Term Debt","28,999.00","14,663.91","34,489.05","12,628.38","82,173.64","72,525.75","29,182.89","28,919.93","28,022.73","28,022.73"
"13","Net Operating Cash Flow","(81,737.00)","(24,098.85)","(83,579.69)","3,198.01","(67,913.25)","29,594.46","149,332.74","(23,725.28)","(56,485.28)","(56,485.28)"
"14","Capital Expenditures","(935.00)","(2,504.13)","(53,254.33)","(54,820.83)","(9,794.38)","(1,462.35)","(1,359.65)","(5,944.92)","(5,414.92)","(5,414.92)"
"15","Total Shares Outstanding (million)","359,075.00","359,075.00","365,935.43","400,175.74","398,294.19","398,192.19","459,959.84","487,131.96","499,720.64","400,175.74"
