"1","Financial Year","30-11-2018       2","28-02-2019       3","31-05-2019       4","31-08-2019       1","30-11-2019       2","29-02-2020       3","31-05-2020       4","31-08-2020       1","30-11-2020       2","28-02-2021       3"
"2","Sales/Revenue","7,416.61","8,326.23","9,383.29","8,752.84","8,948.76","8,949.82","8,584.91","11,939.52","15,591.31","22,607.85"
"3","Pretax Income","46.29","(582.34)","874.46","1,006.07","1,036.95","653.41","(414.52)","3,201.83","4,011.57","9,984.39"
"4","Net Income","46.03","(582.60)","875.23","1,005.83","1,036.73","653.19","(414.74)","3,201.63","4,011.39","8,467.48"
"5","Cash & Short-Term Investments","18,906.46","17,181.90","19,123.08","19,584.14","21,447.83","19,628.48","20,200.81","26,780.06","48,118.16","59,852.62"
"6","Total Accounts Receivables","7,010.12","8,895.55","9,204.19","9,164.71","7,163.11","8,666.64","10,513.54","6,713.09","8,969.05","16,212.43"
"7","Inventories","4,231.51","4,350.75","4,626.62","4,678.64","4,435.86","4,813.34","4,320.52","5,606.09","5,205.87","7,686.18"
"8","Net Property, Plant & Equipment","18,555.35","18,967.81","21,629.01","20,655.87","20,435.22","21,761.45","21,812.35","21,971.63","22,185.12","22,520.40"
"9","Accrued Payable","1,185.73","2,156.87","4,950.88","2,725.33","2,068.05","2,826.75","6,205.25","4,120.65","18,545.10","29,849.86"
"10","Short Term Debt","58.95","64.54","31.42","42.57","42.73","59.22","91.59","129.17","128.95","89.27"
"11","Long Term Debt","204.73","248.08","277.51","260.79","253.78","329.21","465.62","526.87","509.49","529.86"
"12","Net Operating Cash Flow","(2,452.04)","(1,312.10)","3,716.78","347.30","3,109.04","(140.62)","595.14","3,645.11","21,043.42","7,365.38"
"13","Capital Expenditures","(102.53)","(674.14)","(2,685.62)","(141.70)","(148.12)","(1,804.31)","(158.00)","(566.23)","(1,461.57)","101.71"
"14","Total Shares Outstanding (million)","205,515.10","205,515.10","205,515.10","205,515.10","205,515.10","205,515.10","205,515.10","426,480.19","459,082.99","464,014.49"
