"1","Financial Year","31-12-2018       Other","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       Other","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3"
"2","Sales/Revenue","826.43","2,771.00","13,006.00","17,974.00","3,117.00","2,893.00","3,543.00","2,147.00","1,365.00","1,061.00"
"3","Pretax Income","(2,222.38)","469.00","2,262.00","3,141.00","(2,311.00)","(2,214.00)","(57,116.00)","(3,912.00)","(4,723.00)","(3,229.00)"
"4","Net Income","(4,223.43)","117.00","2,080.00","2,022.00","(1,884.00)","(2,205.00)","(57,993.00)","(3,912.00)","(4,723.00)","(3,229.00)"
"5","Cash & Short-Term Investments","124.94","2,534.00","702.00","2,236.00","1,909.00","1,314.00","729.00","941.00","929.00","446.00"
"6","Cash Only","124.94","1,930.00","85.00","973.00","641.00","42.00","77.00","288.00","276.00","(207.00)"
"7","Total Accounts Receivables","5,642.54","9,283.00","12,286.00","28,313.00","14,172.00","15,126.00","31,560.00","36,191.00","35,989.00","36,628.00"
"8","Inventories","-","43,996.00","42,251.00","33,979.00","25,187.00","25,229.00","63,549.00","34,483.00","34,455.00","34,487.00"
"9","Net Property, Plant & Equipment","18.23","67,726.00","67,564.00","78,633.00","88,179.00","87,714.00","59,636.00","71,344.00","71,744.00","71,290.00"
"10","Short Term Debt","-","9,339.00","9,438.00","10,713.00","13,807.00","13,288.00","12,287.00","11,832.00","11,842.00","12,069.00"
"11","Long Term Debt","-","34,897.00","34,537.00","56,062.00","54,329.00","55,725.00","56,750.00","59,961.00","62,459.00","63,266.00"
"12","Net Operating Cash Flow","1,570.54","2,024.00","(401,548.00)","6,065.00","11,357.00","(1,365.00)","10,340.00","(8,351.00)","(541.00)","(167.00)"
"13","Capital Expenditures","(0.04)","-","(37.00)","(91.00)","(9,947.00)","-","(10,038.00)","-","(918.00)","-"
"14","Total Shares Outstanding (million)","795,362.70","795,362.70","5,595,362.70","5,595,362.70","624,736.27","767,736.27","835,736.27","937,551.27","1,046,252.51","1,046,252.51"
