"1","Financial Year","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM","31-03-2019       TTM"
"2","Sales/Revenue","31,819.00","39,435.00","46,434.00","54,519.00","57,260.25","59,890.06","59,890.06"
"3","Pretax Income","4,675.00","6,413.00","9,655.00","13,665.00","12,122.52","10,819.94","10,819.94"
"4","Net Income","3,372.00","4,730.00","7,168.00","10,027.00","9,071.33","8,226.45","8,226.45"
"5","Cash & Short-Term Investments","10,614.00","9,372.00","7,278.00","11,297.00","50,086.50","52,835.45","52,835.45"
"6","Cash Only","9,561.00","8,288.00","7,278.00","11,297.00","11,446.64","18,290.08","18,290.08"
"7","Total Accounts Receivables","7,602.00","9,924.00","13,303.00","19,467.00","25,440.37","25,535.84","25,535.84"
"8","Net Property, Plant & Equipment","8,620.00","8,595.00","8,151.00","8,061.00","9,100.47","9,700.38","9,700.38"
"9","Short Term Debt","421.00","1,119.00","607.00","1,135.00","753.89","942.04","942.04"
"10","Long Term Debt","5,315.00","8,087.00","8,187.00","7,515.00","7,954.46","7,508.82","7,508.82"
"11","Net Operating Cash Flow","13,321.00","196.00","2,882.00","7,075.00","4,600.19","7,380.41","7,380.41"
"12","Capital Expenditures","(1,289.00)","(984.00)","(383.00)","(566.00)","(1,376.45)","(2,285.03)","(2,285.03)"
"13","Total Shares Outstanding (million)","174,021.00","174,021.00","174,021.00","174,021.00","260,000.00","260,000.00","174,021.00"
