"1","Financial Year","31-03-2017       3","30-06-2017       4","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2","31-03-2019       3","30-06-2019       4"
"2","Sales/Revenue","27,883.00","22,630.00","23,318.00","22,968.00","23,104.00","10,671.00","10,617.00","10,505.00","10,517.00","10,475.00"
"3","Pretax Income","1,348.00","(1,841.00)","1,594.00","280.00","3,262.00","21,005.00","1,852.00","(1,109.00)","1,504.00","(274.00)"
"4","Net Income","570.00","1,623.00","162.00","2,464.00","2,726.00","7,947.00","970.00","(512.00)","(284.00)","2,178.00"
"5","Cash & Short-Term Investments","144,673.00","145,699.00","156,080.00","170,673.00","173,093.00","54,924.00","58,334.00","56,878.00","56,999.00","59,465.00"
"6","Total Accounts Receivables","46,946.00","47,331.00","55,811.00","43,166.00","44,843.00","29,673.00","26,620.00","26,234.00","29,554.00","29,329.00"
"7","Inventories","102,125.00","102,125.00","102,125.00","102,125.00","102,125.00","109,003.00","109,003.00","113,599.00","112,597.00","112,597.00"
"8","Net Property, Plant & Equipment","211.00","195.00","179.00","159.00","147.00","147.00","140.00","128.00","124.00","124.00"
"9","Accrued Payable","-","-","112,122.00","103,149.00","103,681.00","56,862.00","58,733.00","63,939.00","65,359.00","65,268.00"
"10","Short Term Debt","80,802.00","-","48,524.00","62,499.00","62,163.00","33,033.00","33,034.00","33,034.00","33,034.00","-"
"11","Long Term Debt","599,280.00","621,046.00","625,019.00","612,823.00","604,560.00","246,712.00","237,298.00","231,098.00","224,740.00","207,907.00"
"12","Net Operating Cash Flow","1,546.00","16,893.00","30,250.00","26,720.00","22,506.00","8,311.00","28,851.00","46,125.00","1,460.00","21,638.00"
"13","Capital Expenditures","(4.00)","(12.00)","(6.00)","(3.00)","(6.00)","(11.00)","(11.00)","(6.00)","(15.00)","(12.00)"
"14","Total Shares Outstanding (million)","267,107.00","267,107.00","480,788.75","480,788.75","480,791.28","480,793.00","480,793.00","480,793.00","480,793.00","480,792.51"
