"1","Financial Year","30-06-2015","30-06-2016","30-06-2017","31-12-2018","31-12-2019","31-03-2020       TTM","","","",""
"2","Sales/Revenue","3,253,933.00","2,590,737.00","2,564,399.00","1,269,145.00","3,179,994.00","3,081,599.00","","","",""
"3","Pretax Income","740,430.00","958,132.00","836,810.00","(38,146.00)","665,670.00","375,114.00","","","",""
"4","Net Income","619,829.00","873,225.00","624,029.00","(318,700.00)","598,531.00","347,609.00","","","",""
"5","Cash & Short-Term Investments","138,562.00","185,530.00","316,585.00","305,572.00","286,632.00","304,856.25","","","",""
"6","Cash Only","138,562.00","185,530.00","316,585.00","305,572.00","286,632.00","304,856.25","","","",""
"7","Total Accounts Receivables","1,208,800.00","786,432.00","635,821.00","1,504,222.00","1,775,623.00","1,805,938.75","","","",""
"8","Inventories","3,266,987.00","4,360,070.00","4,579,438.00","4,625,027.00","1,989,843.00","3,330,052.75","","","",""
"9","Net Property, Plant & Equipment","851,770.00","846,083.00","824,398.00","640,445.00","636,284.00","639,721.00","","","",""
"10","Accrued Payable","-","-","-","-","-","1,340,330.75","","","",""
"11","Short Term Debt","104,474.00","187,463.00","230,154.00","1,347,816.00","813,817.00","1,019,973.75","","","",""
"12","Long Term Debt","4,352,277.00","4,289,547.00","3,168,418.00","1,925,221.00","2,482,182.00","2,320,758.25","","","",""
"13","Net Operating Cash Flow","(521,475.00)","(120,733.00)","493,674.00","(63,881.00)","411,641.00","451,859.00","","","",""
"14","Capital Expenditures","(72,582.00)","(49,888.00)","(28,235.00)","(3,976.00)","(13,959.00)","(15,560.00)","","","",""
"15","Total Shares Outstanding (million)","6,800,839.38","6,800,839.38","6,800,839.38","6,800,839.00","6,800,839.38","6,800,839.38","6,800,839.38","490,079.73","",""
